Accounts Receivable — Account 1200 Trade Debtors — 2026-03
Amounts in USD. 'Ref doc' is the document the customer's remittance advice or credit note cites; resolve it through index/documents.csv.
'Cust' is a counterparty code; see masters/counterparties.csv.

Date        Voucher     Ref doc     Narration            Cust           Debit      Credit      Balance
------------------------------------------------------------------------------------------------------
                                    Opening balance                                         120,646.32
2026-03-02  AR-00037                Payment received     C-DELT                  2,408.31   118,238.01
2026-03-03  AR-00038    DOC-57668   Credit note issued   C-BAYL                  7,142.57   111,095.44
2026-03-04  AR-00039                Late-payment charge  C-BAYL      7,212.44               118,307.88
2026-03-04  AR-00040                Goods dispatched     C-FAIR      3,929.59               122,237.47
2026-03-07  AR-00041                Service billed       C-DELT      6,317.96               128,555.43
2026-03-08  AR-00042                Goods dispatched     C-BAYL      9,147.90               137,703.33
2026-03-10  AR-00043                Service billed       C-FAIR      6,062.76               143,766.09
2026-03-11  AR-00044                Service billed       C-CEDW      7,219.24               150,985.33
2026-03-11  AR-00045                Service billed       C-ANCH      1,259.66               152,244.99
2026-03-13  AR-00046                Service billed       C-DELT      3,329.99               155,574.98
2026-03-15  AR-00047                Goods dispatched     C-ANCH      2,675.61               158,250.59
2026-03-15  AR-00048                Service billed       C-EAST      3,848.26               162,098.85
2026-03-17  AR-00049                Service billed       C-BAYL      8,252.53               170,351.38
2026-03-25  AR-00050                Service billed       C-FAIR      5,103.17               175,454.55
2026-03-27  AR-00051    DOC-45067   Payment received     C-ANCH                  1,545.65   173,908.90
2026-03-28  AR-00052    DOC-45067   Discount allowed     C-ANCH                  3,516.97   170,391.93
2026-03-28  AR-00053    DOC-61269   Credit note issued   C-DELT                  5,591.40   164,800.53
2026-03-28  AR-00054                Invoice raised       C-EAST      8,893.65               173,694.18
                                    Closing balance                                         173,694.18
