document_id,voucher,document_type
DOC-12857,AR-00019,invoice
DOC-13560,AR-00071,invoice
DOC-14584,AR-00021,invoice
DOC-14836,AR-00034,invoice
DOC-14880,AR-00066,invoice
DOC-16292,AR-00002,invoice
DOC-22191,AR-00030,invoice
DOC-22535,AR-00061,invoice
DOC-23520,AR-00031,invoice
DOC-24880,AR-00079,invoice
DOC-25426,AR-00057,invoice
DOC-26238,AR-00081,invoice
DOC-26317,AR-00083,invoice
DOC-26441,AR-00045,invoice
DOC-26881,AR-00024,invoice
DOC-27583,AR-00042,invoice
DOC-28953,AR-00022,invoice
DOC-36224,AR-00058,invoice
DOC-38971,AR-00017,invoice
DOC-39349,AR-00003,invoice
DOC-39502,AR-00033,invoice
DOC-41064,AR-00078,invoice
DOC-45466,AR-00046,invoice
DOC-46565,AR-00020,invoice
DOC-47943,AR-00048,invoice
DOC-48610,AR-00016,invoice
DOC-53241,AR-00023,invoice
DOC-58454,AR-00008,invoice
DOC-58577,AR-00038,invoice
DOC-58717,AR-00001,invoice
DOC-63951,AR-00054,invoice
DOC-64534,AR-00069,invoice
DOC-65452,AR-00053,invoice
DOC-66350,AR-00076,invoice
DOC-66773,AR-00068,invoice
DOC-66831,AR-00012,invoice
DOC-67332,AR-00005,invoice
DOC-68995,AR-00004,invoice
DOC-69417,AR-00025,invoice
DOC-71537,AR-00082,invoice
DOC-73687,AR-00036,invoice
DOC-75858,AR-00032,invoice
DOC-79732,AR-00077,invoice
DOC-84284,AR-00044,invoice
DOC-87907,AR-00065,invoice
DOC-90136,AR-00037,invoice
DOC-93739,AR-00007,invoice
DOC-94261,AR-00064,invoice
DOC-94490,AR-00006,invoice
DOC-98259,AR-00052,invoice
DOC-99001,AR-00039,invoice
DOC-99156,AR-00028,invoice
