date,description,amount
2026-01-03,Office supplies,-42.10
2026-01-13,Office supplies,-32.50
2026-01-14,Travel reimbursement,-15.00
2026-01-05,"Coffee, tea & snacks",-18.50
2026-01-15,Cloud hosting,2.50
2026-01-16,Legal fees,20.00
2026-01-17,Marketing spend,37.50
2026-01-07,Café Münchner catering,-120.00
2026-01-18,Hardware,55.00
2026-01-19,Stationery,72.50
2026-01-20,Training,90.00
2026-01-09,Invoice #1001,2500.00
2026-01-21,Subscriptions,107.50
2026-01-22,Maintenance,125.00
2026-01-23,Utilities,142.50
2026-01-09,Invoice #1002,2500.00
2026-01-24,Consulting,160.00
2026-01-25,Shipping,177.50
2026-01-26,Insurance,195.00
2026-01-11,,-9.99
2026-01-27,Bank charges,212.50
2026-01-28,Software license,230.00
2026-01-12,Refund — partial,33.33
