txn_ref,recorded_at,internal_state,discount_label,internal_revenue
41c73462cb4b9b93b204dd1d,2024-05-01 16:43:19.484000,COMPLETE,,16.34918377
d17ad30f490281454e874950,2024-05-18 04:02:32.369000,COMPLETE,,5.48518938
dd128dc495892348b2520e3d,2024-05-18 10:33:01.206000,COMPLETE,,4.97987592
c2a8f8787f0a3bef1ffdd997,2024-05-18 20:52:00.708000,COMPLETE,,5.49604259
0b144ff994749dc1a8f50672,2024-05-19 06:36:28.884000,COMPLETE,,2.50299761
3c98a2f117f61135fa75fa7f,2024-05-20 02:44:16.573000,COMPLETE,,30.41382058
1065a1628b896213e52f2233,2024-05-20 10:33:09.555000,COMPLETE,,5.67323961
25995a9f0d48af91d6f4d4b6,2024-05-20 16:11:51.165000,COMPLETE,,5.59554422
b89c2bf1bacbc923ed4b0226,2024-05-21 17:11:12.611000,COMPLETE,,2.50098722
db2a72d191dcf1a0c1b5515f,2024-05-21 22:27:47.848000,COMPLETE,,5.64474142
67f1934c26c33134e72c0cdb,2024-05-21 23:35:41.553000,COMPLETE,,5.13826768
6277db0f144010f598171119,2024-05-22 06:39:39.383000,COMPLETE,,5.64491906
4264a56ee8c1e84724a8533a,2024-05-22 23:08:02.639000,COMPLETE,,13.73735668
439ee93922b95f4932ceadda,2024-05-23 02:05:40.781000,COMPLETE,,24.23130966
38493282d17f51a73dc72575,2024-05-23 15:07:36.390000,COMPLETE,,13.8305651
96798732cdf90a4b670d2bac,2024-05-23 16:23:00.322000,COMPLETE,,6.44142777
a20a7ffda0e66c08292a5caf,2024-05-23 16:50:16.308000,COMPLETE,,5.61516067
2fff7f6f358b6a1aa239f39c,2024-05-23 17:51:00.014000,COMPLETE,,2.48794894
07641494bd89adff3a1cf1ed,2024-05-23 21:08:06.492000,COMPLETE,,5.61067052
141cccc55441d1a50aeb4a51,2024-05-23 21:28:32.472000,COMPLETE,,5.61067052
beccd21b2ad4f4c3e23a840e,2024-05-24 02:44:25.531000,COMPLETE,,5.61129837
1e123478ddc5fccf851b948a,2024-05-24 11:10:20.850000,COMPLETE,,2.48095303
27a4b5f15d3f5a425d71eae0,2024-05-24 17:49:37.279000,COMPLETE,,23.40486247
03dc76d7588ca318a7a26932,2024-05-24 18:09:54.848000,COMPLETE,,3.66958074
99f32bd4abf4dc78b4ebf6d5,2024-05-27 08:35:58.554000,COMPLETE,,5.20699611
793ea44be8e6f3ef708ac521,2024-05-28 15:43:15.234000,COMPLETE,,5.65773571
6b185ff03c6d4a1f276ee66e,2024-05-28 18:55:08.760000,COMPLETE,,5.23024492
a59904bae4c3febf27b21784,2024-05-28 18:58:19.272000,COMPLETE,,5.18750593
ffb455d298b90b96041a689e,2024-05-28 21:12:28.202000,COMPLETE,,5.23646189
0599302d5217420c4a96e120,2024-05-29 08:33:17.409000,COMPLETE,,5.5108586
7dfe0cc785cbd5c949c7ec08,2024-05-29 18:00:07.099000,COMPLETE,,5.57470833
998e0fc4f238243269b4da41,2024-05-29 21:19:23.312000,COMPLETE,,5.45190938
dd63e3beff7c68dd9afba9fc,2024-05-30 02:42:43.524000,COMPLETE,,5.52844297
743e14aeb4d80965a2d67039,2024-05-30 08:23:03.258000,COMPLETE,,5.14145525
bfadf35fc7070f9b56db2e9d,2024-05-18 13:07:10.406000,COMPLETE,,3.29118558
cf1f27db6b661e83a34c1cf3,2024-05-18 17:33:46.704000,COMPLETE,,5.13754776
e05a1c4a78c32df76079c576,2024-05-19 17:39:26.078000,COMPLETE,,39.65593396
a1fc9f678bcfe8565dc3c662,2024-05-19 23:52:12.220000,COMPLETE,,4.10283285
300801af2cf67bb7852554c9,2024-05-20 01:10:06.346000,COMPLETE,,5.61320827
