document_id,voucher,document_type
DOC-11595,AR-00079,invoice
DOC-13128,AR-00040,invoice
DOC-13851,AR-00060,invoice
DOC-14641,AR-00066,invoice
DOC-15266,AR-00009,invoice
DOC-18092,AR-00043,invoice
DOC-24385,AR-00045,invoice
DOC-24751,AR-00083,invoice
DOC-25745,AR-00075,invoice
DOC-26212,AR-00028,invoice
DOC-29694,AR-00014,invoice
DOC-33086,AR-00068,invoice
DOC-34610,AR-00070,invoice
DOC-36657,AR-00050,invoice
DOC-39337,AR-00033,invoice
DOC-41134,AR-00062,invoice
DOC-44921,AR-00008,invoice
DOC-48702,AR-00015,invoice
DOC-52707,AR-00061,invoice
DOC-52973,AR-00074,invoice
DOC-54803,AR-00059,invoice
DOC-55044,AR-00026,invoice
DOC-55158,AR-00002,invoice
DOC-57616,AR-00022,invoice
DOC-57929,AR-00052,invoice
DOC-60092,AR-00029,invoice
DOC-60991,AR-00001,invoice
DOC-64203,AR-00056,invoice
DOC-65947,AR-00003,invoice
DOC-66863,AR-00021,invoice
DOC-70936,AR-00035,invoice
DOC-75796,AR-00016,invoice
DOC-76887,AR-00073,invoice
DOC-77299,AR-00071,invoice
DOC-78158,AR-00012,invoice
DOC-78748,AR-00055,invoice
DOC-79279,AR-00004,invoice
DOC-83669,AR-00036,invoice
DOC-85177,AR-00006,invoice
DOC-85199,AR-00031,invoice
DOC-87159,AR-00005,invoice
DOC-90256,AR-00027,invoice
DOC-96366,AR-00020,invoice
DOC-96623,AR-00010,invoice
DOC-98014,AR-00011,invoice
DOC-99143,AR-00084,invoice
DOC-99737,AR-00058,invoice
DOC-99813,AR-00080,invoice
